page,num,type,width_px,height_px,color,components,bpc,encoding,interpolate,object_id,generation,x_ppi,y_ppi,file,bytes,sha256
2,0,image,1484,711,rgb,3,8,jpeg,no,233,0,500,501,p002_n000_image_obj233.jpg,22864,a83c5337a733f145b7bbd5484ce9108ae5f827ea427f549cc6c16fe837ff9610
2,1,image,1534,881,rgb,3,8,jpeg,no,234,0,500,501,p002_n001_image_obj234.jpg,42965,aa6d3317f821e9ed85c6fffd554e36d83ec1c0f0eef6d40f894ba43a2ea8445d
2,2,image,2434,1245,rgb,3,8,jpeg,no,248,0,500,501,p002_n002_image_obj248.jpg,158686,3aabe3995593dfad7d0ff88d94ac704c4a07ed698cc07cf9dd7af8b68e372ea0
3,3,image,328,243,rgb,3,8,jpeg,no,260,0,94,94,p003_n003_image_obj260.jpg,9041,a493ec0e7434b6a2c52349720343e88d4ec649e47edf0e3ee32e70e330712d9e
8,4,image,1261,271,rgb,3,8,jpeg,no,533,0,192,192,p008_n004_image_obj533.jpg,33155,827c3f9eb224fb0b6b241aa2f6bd0d2c3f1d23515478c0f9f226e188de4acf57
8,5,image,1261,418,rgb,3,8,jpeg,no,534,0,192,192,p008_n005_image_obj534.jpg,51684,981933abed163e2dc26895e06186241827e592297e0f805951abbb43a454518e
9,6,image,413,294,rgb,3,8,jpeg,no,569,0,140,147,p009_n006_image_obj569.jpg,15049,00fdc7bad945d19766351cd20c376986af86fd6e272946535e4ce0a21cbdda9c
9,7,image,413,291,rgb,3,8,jpeg,no,570,0,143,149,p009_n007_image_obj570.jpg,14918,05afb422887308010b285332208b2b19420936f3afee0854729b38306313bcbd
14,8,image,378,265,rgb,3,8,jpeg,no,727,0,133,133,p014_n008_image_obj727.jpg,16052,394e7e02539509af035d586274dd963e4b49df96642069345b1caa114a51667f
14,9,mask,378,265,-,1,1,image,no,727,0,133,133,p014_n009_mask_obj727.png,2194,f394995936d355c9c94e4b796a1f78c262ac6575d8b331b4d961f0682ebd0a0c
14,10,image,378,265,rgb,3,8,jpeg,no,729,0,133,133,p014_n010_image_obj729.jpg,16174,32b8ef5a2c7234a542687cfe58b9cf57545286f0e9de242c5bf2fb51f1c259be
14,11,mask,378,265,-,1,1,image,no,729,0,133,133,p014_n011_mask_obj729.png,1951,7ab91dab8eba35cfeab6921ffafa433d319e69ad356cb5ee2ff86b8727d5b2ca
14,12,image,378,265,rgb,3,8,jpeg,no,731,0,133,133,p014_n012_image_obj731.jpg,15798,f4ee5a900fde2e5fa0afc843f7585e7ebb11451a5bbc323e2c4177bd64f54252
14,13,mask,378,265,-,1,1,image,no,731,0,133,133,p014_n013_mask_obj731.png,1942,aee5c44eb77197efb205285b4295be46ba8f0fbaac6caaf59ee4f7ac8eb31e7a
14,14,image,378,265,rgb,3,8,jpeg,no,733,0,133,133,p014_n014_image_obj733.jpg,15570,6b2604d04dfa1078e25fd05f12e41e9833c46152be29d8eb5ea5404b1e9c3434
14,15,mask,378,265,-,1,1,image,no,733,0,133,133,p014_n015_mask_obj733.png,1989,de0faf9bb587f4471023f2d5a0f87b37d8fcd3c73b8919775316ed5576a72f94
