document,page,occurrence,xref,smask,bbox_left,bbox_top,bbox_right,bbox_bottom,crop_file,crop_width_px,crop_height_px,crop_bytes,crop_sha256,source_unique_file,source_width_px,source_height_px,note,width_px,height_px
law-1,2,1,233,0,98.707,263.832,312.312,366.08,p002_occ001_xref00233_01.png,594,285,37693,488ae79a95634a08a68b3aeadd3de3fc3181f80489d14e182cb601c6ce3a44d1,xref_00233.png,1484,711,,,
law-1,2,2,234,0,322.387,251.605,543.188,378.306,p002_occ002_xref00234_01.png,614,353,75849,1ff4fbf4a66b35e55a1c9af90da492c3491b59468c5c69bfbfaa03d6dfc0e066,xref_00234.png,1534,881,,,
law-1,2,3,248,0,122.334,572.134,472.666,751.218,p002_occ003_xref00248_01.png,974,498,360995,76dcfda83fb9b9d7dd7e208bd423d0fed766d0c864c90fc602593f22b6059ef6,xref_00248.png,2434,1245,,,
law-1,3,4,260,0,171.748,231.107,423.013,417.743,p003_occ004_xref00260_01.png,699,520,64716,823bce21cb85890a0c02b23acc1733b16445022f3eb4793a72090c936429fb8e,xref_00260.png,328,243,,,
law-1,8,5,533,0,61.167,121.667,533.713,223.316,p008_occ005_xref00533_01.png,1314,284,444436,d6d4301d8cfb426d64bee54b181c7d28e72191452b94e38524ffaf186717663c,xref_00533.png,1261,271,,,
law-1,8,6,534,0,61.167,266.469,533.713,423.257,p008_occ006_xref00534_01.png,1314,436,598663,0efd77130e5cf12fae715e3f3a164898903802c12532a7ff0a77759a9c4dd23a,xref_00534.png,1261,418,,,
law-1,9,7,569,0,84.315,345.462,296.361,489.185,p009_occ007_xref00569_01.png,590,400,564478,2e1c7a9f314865ca1da34f80cbaf4f79e0c34555e395e267ed09c79958df568d,xref_00569.png,413,294,,,
law-1,9,8,570,0,302.837,346.9,510.325,487.866,p009_occ008_xref00570_01.png,577,393,496100,27a5837b6316d76cb786bb7648cd6d52a580a171bebcd0887bd85bf9f0e6fca0,xref_00570.png,413,291,,,
law-1,14,,726,0,,,,,,,,,,xref_00726.png,,,placement rectangle unavailable,378,265
law-1,14,9,727,726,76.879,95.656,281.489,238.899,p014_occ009_xref00727_01.png,569,399,139002,ac2e934c0e09999d3eda998d3ac1d3be7951f1a6fe8cb3fe5ba9633b04820fd0,xref_00727.png,378,265,,,
law-1,14,,728,0,,,,,,,,,,xref_00728.png,,,placement rectangle unavailable,378,265
law-1,14,10,729,728,76.879,245.012,281.489,388.255,p014_occ010_xref00729_01.png,569,399,146458,24832b68ec80804153593849602e2a0b69f23fa4b446eda1f10ae11387aae279,xref_00729.png,378,265,,,
law-1,14,,730,0,,,,,,,,,,xref_00730.png,,,placement rectangle unavailable,378,265
law-1,14,11,731,730,76.879,394.249,281.489,537.492,p014_occ011_xref00731_01.png,569,399,138813,4de5f6cd5e723c6b92096550e11c24d1e3d8afbb6546f14b9b9a5b0888f184cf,xref_00731.png,378,265,,,
law-1,14,,732,0,,,,,,,,,,xref_00732.png,,,placement rectangle unavailable,378,265
law-1,14,12,733,732,319.148,95.656,523.758,238.899,p014_occ012_xref00733_01.png,569,399,139003,e7cc1e37806076c0e5e8522af158644d0bb869144faa0fe08f2bea911d182dc2,xref_00733.png,378,265,,,
law-1,14,,734,0,,,,,,,,,,xref_00734.png,,,placement rectangle unavailable,378,265
law-1,14,13,735,734,319.148,245.012,523.758,388.255,p014_occ013_xref00735_01.png,569,399,147703,4903459092cd4bf61b5a58e8df41bd7ae26718d7b4c503e1fd8c4b8f8c9c2db5,xref_00735.png,378,265,,,
law-1,14,,736,0,,,,,,,,,,xref_00736.png,,,placement rectangle unavailable,378,265
law-1,14,14,737,736,319.148,394.249,523.758,537.492,p014_occ014_xref00737_01.png,569,399,131147,027ef37decce86c9ac66d27f89f6e05bfe174662d45326d4c613fdddc282f5b5,xref_00737.png,378,265,,,
law-1,14,,739,0,,,,,,,,,,xref_00739.png,,,placement rectangle unavailable,378,265
law-1,14,15,740,739,76.879,564.103,281.489,707.346,p014_occ015_xref00740_01.png,569,399,129023,f414bdc01174e872349882293a35d8afb6d0d032bed773d2d7142cfde4a1773f,xref_00740.png,378,265,,,
law-1,14,,741,0,,,,,,,,,,xref_00741.png,,,placement rectangle unavailable,378,265
law-1,14,16,742,741,319.148,564.103,523.758,707.346,p014_occ016_xref00742_01.png,569,399,121175,10f2559b71f24c27556c75f8ea5d4b60bcb0be156e3e05b4c812f50ca688539e,xref_00742.png,378,265,,,
law-1,15,17,763,0,73.88,302.549,274.772,456.94,p015_occ017_xref00763_01.png,559,430,86630,0e8b6fb49e3c5a7103eccd1ff64424c0cf1a5afc63c7d108daacae3cd26015e5,xref_00763.png,268,221,,,
law-1,15,18,764,0,317.949,302.549,518.841,456.94,p015_occ018_xref00764_01.png,559,430,94298,e300cc2b4347c7207cb2cb9d430fccc04d1e7e7c49204c47df64013e477761d8,xref_00764.png,268,221,,,
law-1,15,,765,0,,,,,,,,,,xref_00765.png,,,placement rectangle unavailable,378,265
law-1,15,19,766,765,76.879,74.679,281.489,217.922,p015_occ019_xref00766_01.png,569,399,136652,5f4849a4fde24b49dfe43df48acf55442830aed847376cc4899895eb11b158ab,xref_00766.png,378,265,,,
law-1,15,,773,0,,,,,,,,,,xref_00773.png,,,placement rectangle unavailable,378,265
law-1,15,20,774,773,319.148,74.679,523.758,217.922,p015_occ020_xref00774_01.png,569,399,126646,a01aeb3ff97cce6e4787f9f888b2736a8db99baf4a60d39b797a2965c0a41777,xref_00774.png,378,265,,,
law-1,16,,786,0,,,,,,,,,,xref_00786.png,,,placement rectangle unavailable,903,632
law-1,16,21,787,786,86.114,101.05,302.718,252.564,p016_occ021_xref00787_01.png,602,422,167581,0e9dbea1f26c4a224d43b0df2491e482936955d05046cc349a8ad99d3dae5232,xref_00787.png,903,632,,,
law-1,16,,788,0,,,,,,,,,,xref_00788.png,,,placement rectangle unavailable,903,632
law-1,16,22,789,788,330.182,101.05,546.786,252.564,p016_occ022_xref00789_01.png,602,422,184642,2ee9334cf3f4cbdd4519d06c4993f6290358be5667433c73464fb9380a98cff0,xref_00789.png,903,632,,,
law-1,21,23,880,0,267.816,597.666,282.328,614.208,p021_occ023_xref00880_01.png,42,47,822,e3d0c166b3700a7b7d39e6e17b6cf7ab4893f56367ad27cb76d4b46e60d0b193,xref_00880.png,123,138,,,
law-1,21,24,882,0,437.165,597.666,451.677,614.208,p021_occ024_xref00882_01.png,41,47,827,876930c7e9a98836193dd54f06f102df0880eee37ad023c9a73911ed6d065c6a,xref_00882.png,123,138,,,
law-1,32,25,533,0,50.973,199.821,523.519,301.47,p032_occ025_xref00533_01.png,1314,283,442398,12b10d60c48edb50d3d97bdb78c349476229b98e26d18582ed460d1175e65678,xref_00533.png,1261,271,,,
law-1,33,26,569,0,95.349,320.17,281.369,446.272,p033_occ026_xref00569_01.png,518,351,444287,382628dee3bc6ead9302e110a97fe4d270f40aea9e867ee21cdccc2f299cbb0e,xref_00569.png,413,294,,,
law-1,33,27,570,0,315.79,321.608,497.252,444.833,p033_occ027_xref00570_01.png,505,343,386274,a821fe937dc100ffa4f5c1bb60c5e692bff807e41b5fe730a670922b8f85e088,xref_00570.png,413,291,,,
law-1,38,,1158,0,,,,,,,,,,xref_01158.png,,,placement rectangle unavailable,827,567
law-1,38,28,1159,1158,78.318,324.365,276.691,460.296,p038_occ028_xref01159_01.png,552,378,95238,bf5e0cd1fd53ebaccc171a7c331cec07b749ff0f3f4704062871d45e8481a217,xref_01159.png,827,567,,,
law-1,38,,1160,0,,,,,,,,,,xref_01160.png,,,placement rectangle unavailable,378,265
law-1,38,29,1161,1160,75.799,466.17,274.172,602.101,p038_occ029_xref01161_01.png,552,379,133146,097fccac9ac01cef49e71d7e29db823051b30641d83e1518e8c65e40458463c7,xref_01161.png,378,265,,,
law-1,38,,1162,0,,,,,,,,,,xref_01162.png,,,placement rectangle unavailable,827,567
law-1,38,30,1163,1162,75.799,608.095,274.172,744.026,p038_occ030_xref01163_01.png,552,378,100827,d8e421d0800b3a62ae0976050b0c21a0df3ad21b12571e0d0b392933f9410851,xref_01163.png,827,567,,,
law-1,38,,1166,0,,,,,,,,,,xref_01166.png,,,placement rectangle unavailable,1182,827
law-1,38,31,1167,1166,320.827,324.365,519.2,460.296,p038_occ031_xref01167_01.png,552,378,71694,78220c23653dd18d20967757d516ba298e99e11f2f835c74d9958bf12f9518a3,xref_01167.png,1182,827,,,
law-1,38,,1168,0,,,,,,,,,,xref_01168.png,,,placement rectangle unavailable,378,265
law-1,38,32,1169,1168,320.827,466.17,519.2,602.101,p038_occ032_xref01169_01.png,552,379,133121,16397ed0488554fec931225fbf69d462e8d7496e286f6719c5dc9f4a8b0a6176,xref_01169.png,378,265,,,
law-1,38,,1170,0,,,,,,,,,,xref_01170.png,,,placement rectangle unavailable,827,567
law-1,38,33,1171,1170,320.827,608.095,519.2,744.026,p038_occ033_xref01171_01.png,552,378,96613,767f50aed5502fc7a230587d42a1b669ab9f6fa380d9b8c29d07c8ffb19a66e1,xref_01171.png,827,567,,,
law-1,39,,1188,0,,,,,,,,,,xref_01188.png,,,placement rectangle unavailable,1182,827
law-1,39,34,1189,1188,75.799,109.201,274.172,245.132,p039_occ034_xref01189_01.png,552,378,66726,649a919f143bdf6de44693601b07d5629b8a24a4980078ae37ab9c43c0bebe4f,xref_01189.png,1182,827,,,
law-1,39,,1190,0,,,,,,,,,,xref_01190.png,,,placement rectangle unavailable,827,567
law-1,39,35,1191,1190,75.799,251.006,274.172,386.937,p039_occ035_xref01191_01.png,552,378,92636,856187b00a9d737e78b7ab5622224f3c7c20d7a89154eeb81c4be6a663e451b2,xref_01191.png,827,567,,,
law-1,39,,1192,0,,,,,,,,,,xref_01192.png,,,placement rectangle unavailable,827,567
law-1,39,36,1193,1192,320.827,109.201,519.2,245.132,p039_occ036_xref01193_01.png,552,378,91812,bd6ce6fcb0f5d14264db76cc3a26e098c70c89be272c1e08053349921ba020ec,xref_01193.png,827,567,,,
law-1,39,,1194,0,,,,,,,,,,xref_01194.png,,,placement rectangle unavailable,827,567
law-1,39,37,1195,1194,320.827,251.006,519.2,386.937,p039_occ037_xref01195_01.png,552,378,93338,61f0f35a39419c27baffad05dd00c9bfec18f31a1284d5d076a93ac67eff885b,xref_01195.png,827,567,,,
law-1,39,38,763,0,74.96,473.003,275.852,627.394,p039_occ038_xref00763_01.png,559,430,86630,0e8b6fb49e3c5a7103eccd1ff64424c0cf1a5afc63c7d108daacae3cd26015e5,xref_00763.png,268,221,,,
law-1,39,39,764,0,319.028,473.003,519.92,627.394,p039_occ039_xref00764_01.png,559,430,94298,e300cc2b4347c7207cb2cb9d430fccc04d1e7e7c49204c47df64013e477761d8,xref_00764.png,268,221,,,
law-1,40,,1208,0,,,,,,,,,,xref_01208.png,,,placement rectangle unavailable,903,632
law-1,40,,1209,0,,,,,,,,,,xref_01209.png,,,placement rectangle unavailable,903,632
law-1,40,40,787,786,68.603,103.807,285.207,255.321,p040_occ040_xref00787_01.png,603,422,189595,b0266826415e4717a2a965a9478eb6148c8f4a698332854a16106eff56b48ecc,xref_00787.png,903,632,,,
law-1,40,41,789,788,312.672,103.807,529.276,255.321,p040_occ041_xref00789_01.png,603,422,204249,a2568ed5772816aeafa31c6ba909aca34305b121ef73a1ffcadd14e6568b111e,xref_00789.png,903,632,,,
law-1,53,42,533,0,71.362,483.431,543.908,585.08,p053_occ042_xref00533_01.png,1313,284,443664,323acc972ad0636338e7d55c0dd325f7e68272f1cd3d72a034e54974faa6b8aa,xref_00533.png,1261,271,,,
law-1,54,43,569,0,95.349,553.554,281.369,679.656,p054_occ043_xref00569_01.png,518,351,444287,382628dee3bc6ead9302e110a97fe4d270f40aea9e867ee21cdccc2f299cbb0e,xref_00569.png,413,294,,,
law-1,54,44,570,0,315.79,554.993,497.252,678.218,p054_occ044_xref00570_01.png,505,343,386274,a821fe937dc100ffa4f5c1bb60c5e692bff807e41b5fe730a670922b8f85e088,xref_00570.png,413,291,,,
law-1,59,,1330,0,,,,,,,,,,xref_01330.png,,,placement rectangle unavailable,378,265
law-1,59,,1331,0,,,,,,,,,,xref_01331.png,,,placement rectangle unavailable,378,265
law-1,59,,1332,0,,,,,,,,,,xref_01332.png,,,placement rectangle unavailable,378,265
law-1,59,,1333,0,,,,,,,,,,xref_01333.png,,,placement rectangle unavailable,378,265
law-1,59,,1334,0,,,,,,,,,,xref_01334.png,,,placement rectangle unavailable,378,265
law-1,59,,1335,0,,,,,,,,,,xref_01335.png,,,placement rectangle unavailable,378,265
law-1,59,45,727,726,76.879,187.116,281.489,330.359,p059_occ045_xref00727_01.png,569,399,139002,ac2e934c0e09999d3eda998d3ac1d3be7951f1a6fe8cb3fe5ba9633b04820fd0,xref_00727.png,378,265,,,
law-1,59,46,729,728,76.879,368.357,281.489,511.6,p059_occ046_xref00729_01.png,569,399,146458,24832b68ec80804153593849602e2a0b69f23fa4b446eda1f10ae11387aae279,xref_00729.png,378,265,,,
law-1,59,47,731,730,76.879,549.599,281.489,692.842,p059_occ047_xref00731_01.png,569,399,139776,f8f327066af592fc8fb1cba31d30e6226608a7f0464ca4be488f078fb458bf10,xref_00731.png,378,265,,,
