xref,smask,width_px,height_px,bpc,colorspace,name,filter,file,rendered_width_px,rendered_height_px,channels,sha256,bytes,duplicate_xrefs,is_duplicate_content
233,0,1484,711,8,DeviceRGB,Im1,DCTDecode,xref_00233.png,1484,711,3,2f5e2b9d28c212e629056f641322ac19eadf7b18cee4bbc571eeaa8e97297ca8,164942,233,False
234,0,1534,881,8,DeviceRGB,Im2,DCTDecode,xref_00234.png,1534,881,3,b5b8113a53e15edd2fbad92e3fea7095d41edc5743740ddff25ed9beecccd511,337972,234,False
248,0,2434,1245,8,DeviceRGB,Im3,DCTDecode,xref_00248.png,2434,1245,3,7e2dbf0577d22e11412194da8500a7ea9553702ede3fb47792a030a00c1a1b7d,1560823,248,False
260,0,328,243,8,DeviceRGB,Im4,DCTDecode,xref_00260.png,328,243,3,c09882a238ba356b4909601cc5efe1884f7328ca3912134322191d7fb5ff5b02,44787,260,False
533,0,1261,271,8,DeviceRGB,Im5,DCTDecode,xref_00533.png,1261,271,3,f3f18a9eeeb90803046d39ae66cb1ca0411a7d62c0bfda156ec731a899a920d2,333648,533,False
534,0,1261,418,8,DeviceRGB,Im6,DCTDecode,xref_00534.png,1261,418,3,d7a61624eea5a4c3b57253a4216a14efd92d307eb9d07d0ce989c883b1d4edfc,439445,534,False
569,0,413,294,8,DeviceRGB,Im7,DCTDecode,xref_00569.png,413,294,3,35558330a0f676bfa5571401f3d5f362414b693191437594e2bd918e53ff9be3,256245,569,False
570,0,413,291,8,DeviceRGB,Im8,DCTDecode,xref_00570.png,413,291,3,6238b7c35b72d1fd9aee1c4c01ddb9fe8a0d6a330f92c53b81025dcee4bd71e3,228691,570,False
726,0,378,265,1,,Im9,FlateDecode,xref_00726.png,378,265,1,11752668a46f8cf745cb8be2fb5cb88f8b9635a4c9f7c9974df24008777372c7,3517,"726,1330",True
727,726,378,265,8,DeviceRGB,Im10,DCTDecode,xref_00727.png,378,265,4,efa4984d7f20791e75c9f057f76ab257eac1ac160d5a6150220ec7709d2d28fb,38073,727,False
728,0,378,265,1,,Im11,FlateDecode,xref_00728.png,378,265,1,7deb91af6518cd51236c73ecedb8dbe93b7fd0305edf601a7ce9ff20876b3c19,3148,"728,1160,1331",True
729,728,378,265,8,DeviceRGB,Im12,DCTDecode,xref_00729.png,378,265,4,9fae49d3dec81ef26650d280111db2392ae6ac0899d971e2555ad3ee91abe784,44726,729,False
730,0,378,265,1,,Im13,FlateDecode,xref_00730.png,378,265,1,5b66283f97d71719f8fd75cc402232d460687cc3f21d518087c8b34762eb7183,3115,"730,1332",True
731,730,378,265,8,DeviceRGB,Im14,DCTDecode,xref_00731.png,378,265,4,5c516ed27453aa49b2fdcb250dcfc9320adfbc943cf45da8165995eae425a580,40659,731,False
732,0,378,265,1,,Im15,FlateDecode,xref_00732.png,378,265,1,741905b495f5152476d3f413459c8c4525444e88511ce182fecc1dac7e4e9fc8,3213,"732,1333",True
733,732,378,265,8,DeviceRGB,Im16,DCTDecode,xref_00733.png,378,265,4,97e417234c35adc9937d6f6b7b8c3ce9f2de440e81f124bf9bf8ae4e987e004a,41059,733,False
734,0,378,265,1,,Im17,FlateDecode,xref_00734.png,378,265,1,be4f5b9ed6eaee0bf921d8e542a12a8d497992393729049097993714f41e641e,3439,"734,1334",True
735,734,378,265,8,DeviceRGB,Im18,DCTDecode,xref_00735.png,378,265,4,64501f5afc215d2baab8f728a29c49817407f79e493686ffc4fc0c99ba0f910a,40164,735,False
736,0,378,265,1,,Im19,FlateDecode,xref_00736.png,378,265,1,2b74c5adc91c3df1b0fe745f7445b6b28a7f6de7ba02ef7e2882c92a28b79a56,3253,"736,1335",True
737,736,378,265,8,DeviceRGB,Im20,DCTDecode,xref_00737.png,378,265,4,82edf8ef86d499b79904f245f68dac20e6696969d698ef9a4e07827918cad59d,38238,737,False
739,0,378,265,1,,Im21,FlateDecode,xref_00739.png,378,265,1,9b0be04496e008b6d985c2319602430ab345b05889432b1885aedba26c702e2f,3340,"739,1346",True
740,739,378,265,8,DeviceRGB,Im22,DCTDecode,xref_00740.png,378,265,4,40efdee29bff17e78a1510ed7071f28f7957854b825cf65fec40e1ea58964404,36783,740,False
741,0,378,265,1,,Im23,FlateDecode,xref_00741.png,378,265,1,9b1817713b74b9db0c18c3ec6e4cec51ed8ca944d853715316c733f57f219eda,3228,"741,1348",True
742,741,378,265,8,DeviceRGB,Im24,DCTDecode,xref_00742.png,378,265,4,917cac716855b37548499508d021e004cedb846aca2beeadcb694fd266500ab9,33854,742,False
763,0,268,221,8,DeviceRGB,Im25,DCTDecode,xref_00763.png,268,221,3,4cd6ea83ee069ea70e0874a291a3d9dd70d402c69107dac60e6f040ebbe8b493,65723,763,False
764,0,268,221,8,DeviceRGB,Im26,DCTDecode,xref_00764.png,268,221,3,53755851086665cf5d33392a801f95b1d7b42da33b87af3e741193b958eed070,71885,764,False
765,0,378,265,1,,Im27,FlateDecode,xref_00765.png,378,265,1,e2e6739573038e87778fb90e13fd591273a2edc73cb5303d7962c5658b59a96e,3509,"765,1347",True
766,765,378,265,8,DeviceRGB,Im28,DCTDecode,xref_00766.png,378,265,4,17c67379e96f027e76cdd653b4558a8a04faaaa0c01a87d5f24cd111b5b26498,38086,766,False
773,0,378,265,1,,Im29,FlateDecode,xref_00773.png,378,265,1,6ba4ed1335fbe75942ce1eece4d4b3ed18014dd9560ad002f8ad0dac381e82a4,3033,"773,1349",True
774,773,378,265,8,DeviceRGB,Im30,DCTDecode,xref_00774.png,378,265,4,73c9e698c510299fc3c0e6a1f929ccfdd0b1601e465fb8a8627650e85b68dc58,37197,774,False
786,0,903,632,1,,Im31,FlateDecode,xref_00786.png,903,632,1,313fe6be51559e02ec1321f8053309025a663960772bac5bfcd44eba29beddd1,18139,"786,1208,1358",True
787,786,903,632,8,DeviceRGB,Im32,DCTDecode,xref_00787.png,903,632,4,a08903e67e7e5c7d3d1ff56f922e5b7662e7195490a45ca5c76e89a873be7513,142006,787,False
788,0,903,632,1,,Im33,FlateDecode,xref_00788.png,903,632,1,d004712b04acb4a25075542d24fb6b62e71cecc40af8c63cad7782cfeb008f7f,18031,"788,1209,1359",True
789,788,903,632,8,DeviceRGB,Im34,DCTDecode,xref_00789.png,903,632,4,11c52617d40f99f235a1d3f077359683ec42a52c525355b9e754f0de3c610bef,174783,789,False
880,0,123,138,8,DeviceRGB,Im35,FlateDecode,xref_00880.png,123,138,3,51c88fb2b831b7e7888db943c95a4a2f5e7c3af46d3fd561c9275b3fdf7570a5,403,880,False
882,0,123,138,8,DeviceRGB,Im36,FlateDecode,xref_00882.png,123,138,3,160c814e9675afcf78cf1549fdca59bab49510fe6cd4ffaf8fbfdc8848757afc,413,882,False
1158,0,827,567,1,,Im37,FlateDecode,xref_01158.png,827,567,1,a2d283d9038b2c85d995d4ecea3e7887ef395fe4523399c8795a932f47cbe9d5,10245,1158,False
1159,1158,827,567,8,DeviceRGB,Im38,DCTDecode,xref_01159.png,827,567,4,f80215d9fa26f262956ce172d825a6e9eab2033fee3e950b83481dace0343278,101903,1159,False
1160,0,378,265,1,,Im39,FlateDecode,xref_01160.png,378,265,1,7deb91af6518cd51236c73ecedb8dbe93b7fd0305edf601a7ce9ff20876b3c19,3148,"728,1160,1331",True
1161,1160,378,265,8,DeviceRGB,Im40,DCTDecode,xref_01161.png,378,265,4,d9deac6e47c1d09a03b1bd2ccc0a430328ecda941c0b515ad24e192ff9552dca,42613,1161,False
1162,0,827,567,1,,Im41,FlateDecode,xref_01162.png,827,567,1,9604a54448ed129e6de8e2719632d38549de26e6b6363cd221bcfc5f29dff306,10426,1162,False
1163,1162,827,567,8,DeviceRGB,Im42,DCTDecode,xref_01163.png,827,567,4,dba306039281202a91bd44249da3fa7ffd9c62ee32c9a84966b9ba64c30f9e7c,107623,1163,False
1166,0,1182,827,1,,Im43,FlateDecode,xref_01166.png,1182,827,1,9af1617eec687d66676b5c338efb35d1cc241442b0ef9a2aede7f90148f7f5ab,15869,1166,False
