visual_id,document_id,clause_row_id,clause_id,page,visual_type,source_key,related_table_row_id,source_path,crop_path,bbox_left,bbox_bottom,bbox_right,bbox_top,pixel_width,pixel_height,sha256
PDF-LAW1-U001,1,4,LAW1-1_3_1,2,PDF 고유 이미지,xref:233,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00233.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00233.png,98.707,474.92,312.312,577.168,1484,711,2f5e2b9d28c212e629056f641322ac19eadf7b18cee4bbc571eeaa8e97297ca8
PDF-LAW1-U002,1,4,LAW1-1_3_1,2,PDF 고유 이미지,xref:234,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00234.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00234.png,322.387,462.694,543.188,589.395,1534,881,b5b8113a53e15edd2fbad92e3fea7095d41edc5743740ddff25ed9beecccd511
PDF-LAW1-U003,1,4,LAW1-1_3_1,2,PDF 고유 이미지,xref:248,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00248.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00248.png,122.334,89.782,472.666,268.866,2434,1245,7e2dbf0577d22e11412194da8500a7ea9553702ede3fb47792a030a00c1a1b7d
PDF-LAW1-U004,1,5,LAW1-1_3_2,3,PDF 고유 이미지,xref:260,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00260.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00260.png,171.748,423.257,423.013,609.893,328,243,c09882a238ba356b4909601cc5efe1884f7328ca3912134322191d7fb5ff5b02
PDF-LAW1-U005,1,31,LAW1-2_2_4,8,PDF 고유 이미지,xref:533,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00533.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00533.png,61.167,617.684,533.713,719.333,1261,271,f3f18a9eeeb90803046d39ae66cb1ca0411a7d62c0bfda156ec731a899a920d2
PDF-LAW1-U006,1,31,LAW1-2_2_4,8,PDF 고유 이미지,xref:534,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00534.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00534.png,61.167,417.743,533.713,574.531,1261,418,d7a61624eea5a4c3b57253a4216a14efd92d307eb9d07d0ce989c883b1d4edfc
PDF-LAW1-U007,1,32,LAW1-2_3_1,9,PDF 고유 이미지,xref:569,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00569.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00569.png,84.315,351.815,296.361,495.538,413,294,35558330a0f676bfa5571401f3d5f362414b693191437594e2bd918e53ff9be3
PDF-LAW1-U008,1,32,LAW1-2_3_1,9,PDF 고유 이미지,xref:570,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00570.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00570.png,302.837,353.134,510.325,494.1,413,291,6238b7c35b72d1fd9aee1c4c01ddb9fe8a0d6a330f92c53b81025dcee4bd71e3
PDF-LAW1-U009,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:726,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00726.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00726.png,0.0,841.0,0.0,841.0,378,265,11752668a46f8cf745cb8be2fb5cb88f8b9635a4c9f7c9974df24008777372c7
PDF-LAW1-U010,1,33,LAW1-2_3_2,14,PDF 고유 이미지,xref:727,0,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00727.png,03_extracted_images/pdf_embedded/law-1/02_visible_unique_images/xref_00727.png,76.879,602.101,281.489,745.344,378,265,efa4984d7f20791e75c9f057f76ab257eac1ac160d5a6150220ec7709d2d28fb
