visual_id,document_id,clause_id,page,visual_type,image_file,source_path,source_key,related_table_id,bbox_left,bbox_bottom,bbox_right,bbox_top,pixel_width,pixel_height,ocr_text,description,context_text,sha256,duplicate_group,is_primary,review_status,review_memo
LAW1-V001,LAW1,LAW1-1_3_1,2,내장 이미지,imageFile1.png,law-1_images/imageFile1.png,,,98.707,474.92,312.312,577.168,0,0,,,"1) 승강장 위치가 도로의 선형과 일치하지 않는 역의 경우(해당역은 충무로역, 신이문역, 왕십리역, 길음역, 신금호역, 신도림역, 신길역, 동작역, 개화산 역, 발산역, 종합운동장역, 일원역, 구룡역, 양재시민의숲역을 말한다) / [일반적인 경우] / 역세권 / 범위",ef0109af57ffac07e4e311791f8e4e6c214d9fae8f42890a897a9c7873edef83,IMG-001,TRUE,자동 추출,
LAW1-V002,LAW1,LAW1-1_3_1,2,내장 이미지,imageFile2.png,law-1_images/imageFile2.png,,,322.387,462.694,543.188,589.395,0,0,,,승강장 경계 / [승강장이 도로선형과 일치하지 않는 경우] / 역세권 / 25Om,7c1129d334f6cc39b5d9adba1577fe3d1838fa1d31d4f939e486907599d6b1f7,IMG-002,TRUE,자동 추출,
LAW1-V003,LAW1,LAW1-1_3_1,2,내장 이미지,imageFile3.png,law-1_images/imageFile3.png,,,122.334,89.782,472.666,268.866,0,0,,,"나. “간선도로변”이란 안심주택 조례 제2조제1호나목의 지역을 말하며, 도로법 제14조(특별시도의 지정 ⸱ 고시)에 따라 고시 ⸱ 운영 중인 특별시도 중 1-3-1.가 목의 역세권 외부에 위치한 폭 20m 이상의 주간선도로, 보조간선도로의 경 계로부터 직각으로 50m 이내의 지역을 말한다.(도시고속도로는 제외한다) / [간선도로변] / 간선 도로변 / 5Om ;'",6f95881966503ffb4259c21167d98dfaa701e4bd61d23dc66296cbddbff3eddc,IMG-003,TRUE,자동 추출,
LAW1-V004,LAW1,LAW1-1_3_2,3,내장 이미지,imageFile4.png,law-1_images/imageFile4.png,,,171.748,423.257,423.013,609.893,0,0,,,"1-3-2. “의료시설 중심지역”이란 안심주택 조례 제2조제2호의 지역으로 의료시설 대상부지 경계로부터 350미터 이내의 지역으로 다음 각 목의 어느 하나를 말한다. / 가. 의료법 제3조에 따른 종합병원 나. 의료법 제3조에 따른 병원 중 서울특별시가 관리하는 시립병원 다. 지역보건법 제2조에 따른 보건소 / 미표시신 / 1-3-3. “안심주택”이란 청년․어르신․신혼부부․1인가구 중 입주대상을 단독 또는 복합으로 공급하는 주택을 말한다. 이 때 청년은 안심주택 조례 제2조제3호, 신혼부부는 안심주택 조례 제2조제4호, 어르신은 안심주택 조례 제2조제5 호, 1인가구는 안심주택 조례 제2조제6호의 자격을 따른다. 1-3-4. “서울형 공유주택”이란 안심주택 중 입주대상을 1인가구로 공급하는 주택으 로 조례 제2조제7호다목에 해당되는 주택을 말하며, 제3장의 기준을 따른 다. 1-3-5. “복합주택”이란 안심주택 중 1-3-3과 1-3-4의 주택을 하나의 대지에 복합 하여 건축하는 경우를 말하며, 제4장의 기준을 따른다. 1-3-6. “공공임대주택”이란 안심주택 조례 제2조제7호 가목의 주택으로써, 서울주 택도시공사(이하 ‘SH공사’라 한다)가 사업시행자 전체 주택 연면적의 30% 이내에서 매입하여 공급 할 수 있다. 다만, 서울형 공유주택은 SH공사에서 매입하는 것을 제외한다.",94b9402670e04f1bff882bc99de142864ddcc86a6f76c82ee1f839912a1250fb,IMG-004,TRUE,자동 추출,
LAW1-V005,LAW1,LAW1-2_2_4,8,내장 이미지,imageFile5.png,law-1_images/imageFile5.png,,,61.167,617.684,533.713,719.333,0,0,,,"절차를 따른다. 다만, 청년에게 100% 공급하는 주택의 경우는 제외한다. 가. 사업면적 2,000㎡ 초과[촉진지구 지정과 인·허가 통합승인(시)] / 통합심의위원회 / 사업제안서 / 주민열람공고",58601ca926ce08c89d103111bfa3055eb5b63fc340e5093eee4f465e651948d0,IMG-005,TRUE,자동 추출,
LAW1-V006,LAW1,LAW1-2_2_4,8,내장 이미지,imageFile6.png,law-1_images/imageFile6.png,,,61.167,417.743,533.713,574.531,0,0,,,"서울시 / 나. 사업면적 1,000㎡ 이상 ~ 2,000㎡ 이하[촉진지구지정(시) 인허가(자치구)] / 자문결과 통보(시-구) / 주민열람공고",93b7e8624635ae8bb1afd0123592ad79f47b0a030e6cdeea61f841905a31bc3f,IMG-006,TRUE,자동 추출,
LAW1-V007,LAW1,LAW1-2_3_1,9,내장 이미지,imageFile7.png,law-1_images/imageFile7.png,,,92.939,550.392,500.782,730.431,0,0,,,3) 20m 이상의 간선도로에 접하고 있어야 한다. / [인접 및 도로기준(예시)] / 용도지역 변경 가능 대상지 범위 / 2),a6770b85300387a13cdbc55725acd88b2a0dfa4960e800f25253a0b232beeb0a,IMG-007,TRUE,자동 추출,
LAW1-V008,LAW1,LAW1-2_3_1,9,내장 이미지,imageFile7.png,law-1_images/imageFile7.png,,,84.315,351.815,296.361,495.538,0,0,,,20m 이상 간선도로 / [인접 사례(예시)] / 상업지역에 20m 이하의 도로를 사이에 인접에 해당 / 두고,a6770b85300387a13cdbc55725acd88b2a0dfa4960e800f25253a0b232beeb0a,IMG-007,FALSE,자동 추출,
LAW1-V009,LAW1,LAW1-2_3_1,10,내장 이미지,imageFile9.png,law-1_images/imageFile9.png,,,128.696,619.851,544.42,691.86,0,0,,,(1) 검토 대상지 : 사업대상지 면적 중 대중교통 또는 의료시설 중심지 역내 면적이 50% 미만인 경우 / (2) 추가 공공기여 : 전체 사업면적의 절반에서 대중교통 또는 의료시설 중심지역내 포함된 면적을 제외한 면적의 비율을 고려하여 산정 ※ 공공기여 대상 면적(예시) / 0% / 50%,6a4484698bdea57370a8313f7f653ce86661f3816b7944bda6dcc7bd9b7ebe89,IMG-008,TRUE,자동 추출,
LAW1-V010,LAW1,LAW1-2_3_2,14,내장 이미지,imageFile8.png,law-1_images/imageFile8.png,,,76.879,303.508,281.489,446.751,0,0,,,간선도로 / 15m 이상 / 간선도로변 0 / 간선도로,1624c3b0343df2faaa5260ba1cd80ed7b6a2369c668775dee27fb1d68dabc395,IMG-009,TRUE,자동 추출,
